Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
51,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524736.449472717,1771524736.590310944,.140838227,SUCCESS
52,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524736.703915297,1771524736.811967453,.108052156,SUCCESS
53,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524736.927102461,1771524737.041302335,.114199874,SUCCESS
54,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524737.157389378,1771524737.267824819,.110435441,SUCCESS
55,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524737.385327611,1771524737.495709849,.110382238,SUCCESS
56,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524737.610726953,1771524737.714633361,.103906408,SUCCESS
57,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524737.828766933,1771524737.943424024,.114657091,SUCCESS
58,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524738.063708816,1771524738.170065911,.106357095,SUCCESS
59,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524738.286055050,1771524738.397910941,.111855891,SUCCESS
60,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524738.517224598,1771524738.668889009,.151664411,SUCCESS
61,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524738.784058219,1771524738.901323303,.117265084,SUCCESS
62,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524739.016133200,1771524739.123733739,.107600539,SUCCESS
63,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524739.238610938,1771524739.352968819,.114357881,SUCCESS
64,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524739.467253196,1771524739.575951474,.108698278,SUCCESS
65,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524739.691711905,1771524739.809081093,.117369188,SUCCESS
66,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524739.926162271,1771524740.032496765,.106334494,SUCCESS
67,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524740.150460574,1771524740.259960581,.109500007,SUCCESS
68,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524740.375132991,1771524740.496529523,.121396532,SUCCESS
69,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524740.611190213,1771524740.751069304,.139879091,SUCCESS
70,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524740.866074008,1771524740.978105505,.112031497,SUCCESS
71,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524741.092127874,1771524741.204651188,.112523314,SUCCESS
72,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524741.320159910,1771524741.426685211,.106525301,SUCCESS
73,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524741.543397376,1771524741.669332769,.125935393,SUCCESS
74,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524741.785300007,1771524741.890155148,.104855141,SUCCESS
75,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524742.004966745,1771524742.115495689,.110528944,SUCCESS
