Transaction_ID,Patient_ID,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_UPD_20260219_181026_P000001,1771524628.035024874,1771524628.166371425,.131346551,SUCCESS
2,CLOUD_LAT_UPD_20260219_181026_P000002,1771524628.231084715,1771524628.341845005,.110760290,SUCCESS
3,CLOUD_LAT_UPD_20260219_181026_P000003,1771524628.408567870,1771524628.520446802,.111878932,SUCCESS
4,CLOUD_LAT_UPD_20260219_181026_P000004,1771524628.585264895,1771524628.701395884,.116130989,SUCCESS
5,CLOUD_LAT_UPD_20260219_181026_P000005,1771524628.766984807,1771524628.882611878,.115627071,SUCCESS
6,CLOUD_LAT_UPD_20260219_181026_P000006,1771524628.947050657,1771524629.072484889,.125434232,SUCCESS
7,CLOUD_LAT_UPD_20260219_181026_P000007,1771524629.136677160,1771524629.249456926,.112779766,SUCCESS
8,CLOUD_LAT_UPD_20260219_181026_P000008,1771524629.313406587,1771524629.429461173,.116054586,SUCCESS
9,CLOUD_LAT_UPD_20260219_181026_P000009,1771524629.493278230,1771524629.620565031,.127286801,SUCCESS
10,CLOUD_LAT_UPD_20260219_181026_P000010,1771524629.689998895,1771524629.815789640,.125790745,SUCCESS
11,CLOUD_LAT_UPD_20260219_181026_P000001,1771524629.883559144,1771524629.999171714,.115612570,SUCCESS
12,CLOUD_LAT_UPD_20260219_181026_P000002,1771524630.064372621,1771524630.174591491,.110218870,SUCCESS
13,CLOUD_LAT_UPD_20260219_181026_P000003,1771524630.238329646,1771524630.352389659,.114060013,SUCCESS
14,CLOUD_LAT_UPD_20260219_181026_P000004,1771524630.417227453,1771524630.551340106,.134112653,SUCCESS
15,CLOUD_LAT_UPD_20260219_181026_P000005,1771524630.615513076,1771524630.728874463,.113361387,SUCCESS
16,CLOUD_LAT_UPD_20260219_181026_P000006,1771524630.794224276,1771524630.908533897,.114309621,SUCCESS
17,CLOUD_LAT_UPD_20260219_181026_P000007,1771524630.984294896,1771524631.103781908,.119487012,SUCCESS
18,CLOUD_LAT_UPD_20260219_181026_P000008,1771524631.167744371,1771524631.282796620,.115052249,SUCCESS
19,CLOUD_LAT_UPD_20260219_181026_P000009,1771524631.347915625,1771524631.466767714,.118852089,SUCCESS
20,CLOUD_LAT_UPD_20260219_181026_P000010,1771524631.532952659,1771524631.646931569,.113978910,SUCCESS
21,CLOUD_LAT_UPD_20260219_181026_P000001,1771524631.711830365,1771524631.828174162,.116343797,SUCCESS
22,CLOUD_LAT_UPD_20260219_181026_P000002,1771524631.894429409,1771524632.013910621,.119481212,SUCCESS
23,CLOUD_LAT_UPD_20260219_181026_P000003,1771524632.081213507,1771524632.198010320,.116796813,SUCCESS
24,CLOUD_LAT_UPD_20260219_181026_P000004,1771524632.261701573,1771524632.373435484,.111733911,SUCCESS
25,CLOUD_LAT_UPD_20260219_181026_P000005,1771524632.437640139,1771524632.556300991,.118660852,SUCCESS
26,CLOUD_LAT_UPD_20260219_181026_P000006,1771524632.622826331,1771524632.743484156,.120657825,SUCCESS
27,CLOUD_LAT_UPD_20260219_181026_P000007,1771524632.813592327,1771524632.927128491,.113536164,SUCCESS
28,CLOUD_LAT_UPD_20260219_181026_P000008,1771524632.992811699,1771524633.121715827,.128904128,SUCCESS
29,CLOUD_LAT_UPD_20260219_181026_P000009,1771524633.188849089,1771524633.306414100,.117565011,SUCCESS
30,CLOUD_LAT_UPD_20260219_181026_P000010,1771524633.371177475,1771524633.499303474,.128125999,SUCCESS
31,CLOUD_LAT_UPD_20260219_181026_P000001,1771524633.564062349,1771524633.685388499,.121326150,SUCCESS
32,CLOUD_LAT_UPD_20260219_181026_P000002,1771524633.750054170,1771524633.864048950,.113994780,SUCCESS
33,CLOUD_LAT_UPD_20260219_181026_P000003,1771524633.929340745,1771524634.046311235,.116970490,SUCCESS
34,CLOUD_LAT_UPD_20260219_181026_P000004,1771524634.111951142,1771524634.227335674,.115384532,SUCCESS
35,CLOUD_LAT_UPD_20260219_181026_P000005,1771524634.292995082,1771524634.401186150,.108191068,SUCCESS
36,CLOUD_LAT_UPD_20260219_181026_P000006,1771524634.467125868,1771524634.576745188,.109619320,SUCCESS
37,CLOUD_LAT_UPD_20260219_181026_P000007,1771524634.641747572,1771524634.772357462,.130609890,SUCCESS
38,CLOUD_LAT_UPD_20260219_181026_P000008,1771524634.836629419,1771524634.950173783,.113544364,SUCCESS
39,CLOUD_LAT_UPD_20260219_181026_P000009,1771524635.014109828,1771524635.146448982,.132339154,SUCCESS
40,CLOUD_LAT_UPD_20260219_181026_P000010,1771524635.213711048,1771524635.326439283,.112728235,SUCCESS
41,CLOUD_LAT_UPD_20260219_181026_P000001,1771524635.392518405,1771524635.508062542,.115544137,SUCCESS
42,CLOUD_LAT_UPD_20260219_181026_P000002,1771524635.573200632,1771524635.696788364,.123587732,SUCCESS
43,CLOUD_LAT_UPD_20260219_181026_P000003,1771524635.762580177,1771524635.878101214,.115521037,SUCCESS
44,CLOUD_LAT_UPD_20260219_181026_P000004,1771524635.942829187,1771524636.055345114,.112515927,SUCCESS
45,CLOUD_LAT_UPD_20260219_181026_P000005,1771524636.120963320,1771524636.232788721,.111825401,SUCCESS
46,CLOUD_LAT_UPD_20260219_181026_P000006,1771524636.298230221,1771524636.413753958,.115523737,SUCCESS
47,CLOUD_LAT_UPD_20260219_181026_P000007,1771524636.479305662,1771524636.590306933,.111001271,SUCCESS
48,CLOUD_LAT_UPD_20260219_181026_P000008,1771524636.656168848,1771524636.765328952,.109160104,SUCCESS
