Transaction_ID,Patient_ID,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_CREATE_20260219_180608_P000001,1771524368.882050281,1771524369.002869032,.120818751,SUCCESS
2,CLOUD_LAT_CREATE_20260219_180608_P000002,1771524369.065534900,1771524369.184814688,.119279788,SUCCESS
3,CLOUD_LAT_CREATE_20260219_180608_P000003,1771524369.249017820,1771524369.367563778,.118545958,SUCCESS
4,CLOUD_LAT_CREATE_20260219_180608_P000004,1771524369.431867313,1771524369.547739361,.115872048,SUCCESS
5,CLOUD_LAT_CREATE_20260219_180608_P000005,1771524369.610826247,1771524369.729769022,.118942775,SUCCESS
